Server type: ROBUST
Variating number of clients.
(1, 10000, 15) : (381.0, 380.57142857142856, 1823.5714285714287)
(3, 10000, 15) : (386.8235294117647, 386.7647058823529, 13457.21052631579)
(5, 10000, 15) : (577.0869565217391, 576.8695652173913, 2465.962962962963)
(7, 10000, 15) : (396.2903225806452, 396.2258064516129, 2149.8064516129034)
(9, 10000, 15) : (525.060606060606, 525.0, 2122.3823529411766)
(11, 10000, 15) : (489.3863636363636, 489.34090909090907, 2115.8863636363635)
(13, 10000, 15) : (590.7540983606557, 590.7540983606557, 3471.9857142857145)
(15, 10000, 15) : (529.4310344827586, 529.3620689655172, 2963.293103448276)
(17, 10000, 15) : (554.7179487179487, 554.6794871794872, 3518.3291139240505)
(19, 10000, 15) : (588.4268292682926, 588.3780487804878, 5325.53164556962)
(21, 10000, 15) : (542.6792452830189, 542.6415094339623, 8250.346153846154)
(23, 10000, 15) : (592.5806451612904, 592.5806451612904, 7708.204545454545)
(25, 10000, 15) : (428.2352941176471, 428.2352941176471, 8485.130434782608)
(27, 10000, 15) : (517.4444444444445, 517.4305555555555, 6620.633333333333)
(29, 10000, 15) : (516.36, 516.36, 6384.029411764706)
Variating number of elements.
(11, 1000, 15) : (6.107142857142857, 6.089285714285714, 93.10909090909091)
(11, 6000, 15) : (96.33333333333333, 96.29629629629629, 448.0863636363636)
(11, 17000, 15) : (712.2631578947369, 712.2631578947369, 1219.0751355538343)
(11, 8000, 15) : (165.39285714285714, 165.39285714285714, 559.1155778894472)
(11, 9000, 15) : (198.2, 198.1818181818182, 606.858630952381)
(11, 2000, 15) : (17.075, 17.025, 184.504)
(11, 7000, 15) : (129.64705882352942, 129.64705882352942, 503.30232558139534)
(11, 11000, 15) : (293.280701754386, 293.2456140350877, 711.0398069963812)
(11, 13000, 15) : (418.2456140350877, 418.2456140350877, 861.441505595117)
(11, 18000, 15) : (801.6315789473684, 801.6140350877193, 1327.6184210526317)
(11, 4000, 15) : (45.660377358490564, 45.60377358490566, 311.5412186379928)
(11, 3000, 15) : (31.23404255319149, 31.23404255319149, 248.04)
(11, 16000, 15) : (626.9433962264151, 626.9245283018868, 1112.3314049586777)
(11, 15000, 15) : (564.7543859649123, 564.719298245614, 1023.7695690413368)
(11, 14000, 15) : (479.24528301886795, 479.24528301886795, 933.7651515151515)
(11, 5000, 15) : (63.81481481481482, 63.7962962962963, 367.1671469740634)
(11, 12000, 15) : (354.36842105263156, 354.36842105263156, 790.0684326710817)
(11, 10000, 15) : (246.8421052631579, 246.8421052631579, 661.5026595744681)
Variating delta.
(11, 10000, 36) : (525.8837209302326, 525.8255813953489, 4524.270981507823)
(11, 10000, 3) : (466.14925373134326, 466.13432835820896, 4252.883720930233)
(11, 10000, 12) : (493.63492063492066, 493.6190476190476, 3683.5009940357854)
(11, 10000, 6) : (540.1168831168832, 540.077922077922, 3894.5488215488217)
(11, 10000, 0) : (519.9710144927536, 519.9710144927536, 4621.304347826087)
(11, 10000, 18) : (536.472972972973, 536.4594594594595, 3624.6852861035422)
(11, 10000, 24) : (489.9756097560976, 489.9268292682927, 4043.0405405405404)
(11, 10000, 42) : (447.09375, 447.078125, 5215.878692646134)
(11, 10000, 9) : (504.76190476190476, 504.74603174603175, 3744.1045918367345)
(11, 10000, 33) : (498.54545454545456, 498.530303030303, 4376.546448087432)
(11, 10000, 30) : (500.219512195122, 500.1951219512195, 4310.914551607445)
(11, 10000, 48) : (468.0238095238095, 468.0238095238095, 5856.332962138084)
(11, 10000, 27) : (542.7647058823529, 542.7529411764706, 4202.970204841713)
(11, 10000, 21) : (499.7613636363636, 499.75, 3928.804195804196)
(11, 10000, 15) : (540.364705882353, 540.3529411764706, 3657.8958990536275)
(11, 10000, 39) : (503.30434782608694, 503.27536231884056, 4694.898921832884)
(11, 10000, 45) : (454.5238095238095, 454.5238095238095, 5559.5405565423325)

Server type: BLOCKING
Variating number of clients.
(1, 10000, 15) : (464.57142857142856, 459.42857142857144, 1767.7142857142858)
(3, 10000, 15) : (568.0588235294117, 554.0, 1375.2631578947369)
(5, 10000, 15) : (596.0416666666666, 584.7407407407408, 2379.9166666666665)
(7, 10000, 15) : (530.3703703703703, 515.56, 4058.962962962963)
(9, 10000, 15) : (741.75, 540.3076923076923, 4029.733333333333)
(11, 10000, 15) : (618.875, 576.516129032258, 5594.96875)
(13, 10000, 15) : (1011.9166666666666, 528.6739130434783, 8001.785714285715)
(15, 10000, 15) : (569.2340425531914, 532.7647058823529, 6665.941176470588)
(17, 10000, 15) : (607.5, 535.027027027027, 5737.395833333333)
(19, 10000, 15) : (755.8064516129032, 552.8064516129032, 6104.363636363636)
(21, 10000, 15) : (509.04347826086956, 461.1041666666667, 4845.046511627907)
(23, 10000, 15) : (737.3541666666666, 497.6388888888889, 4472.475)
(25, 10000, 15) : (737.7894736842105, 552.1860465116279, 5349.880952380952)
(27, 10000, 15) : (581.7021276595744, 437.47222222222223, 4660.0)
(29, 10000, 15) : (735.8656716417911, 524.5333333333333, 5078.296875)
Variating number of elements.
(11, 15000, 15) : (1305.1379310344828, 566.0714285714286, 926.5962230215828)
(11, 14000, 15) : (985.9545454545455, 487.75, 849.6075581395348)
(11, 3000, 15) : (30.511111111111113, 30.333333333333332, 182.03783783783783)
(11, 5000, 15) : (94.04878048780488, 68.01923076923077, 307.5825825825826)
(11, 13000, 15) : (852.5384615384615, 422.64864864864865, 790.1284974093264)
(11, 17000, 15) : (2078.264705882353, 799.8823529411765, 1159.4258675078863)
(11, 2000, 15) : (15.6, 15.428571428571429, 147.1796875)
